id,location,2024-01-06,2024-01-13,2024-01-20,2024-01-27,2024-02-03
1,01,518.0,501.1,518.4,602.7,389.0
2,02,11.8,14.1,11.8,13.1,15.3
3,04,1593.5,1271.4,1451.4,1065.0,589.5
4,05,366.2,351.8,503.5,553.0,348.7
5,06,2783.3,2406.0,2327.1,2646.3,2963.3
6,08,539.8,440.5,440.5,393.4,363.8
7,09,296.0,263.5,285.2,258.5,238.8
8,10,99.6,82.2,87.2,120.5,92.3
9,11,92.9,78.8,89.7,84.8,44.3
10,12,1988.3,2042.6,2154.5,2149.5,2060.6
11,13,1474.2,1188.2,1261.1,1330.6,689.1
12,15,65.1,66.8,77.8,79.6,83.3
13,16,249.0,231.8,273.0,196.4,114.9
14,17,853.3,738.2,715.0,839.4,736.4
15,18,759.9,684.4,764.7,566.9,537.3
16,19,167.0,172.6,183.0,243.8,294.4
17,20,152.2,147.6,156.8,204.4,234.5
18,21,491.9,462.3,679.6,628.2,486.2
19,22,556.6,466.5,454.0,380.3,433.3
20,23,107.2,100.3,106.1,119.1,126.4
21,24,600.3,488.3,514.8,529.3,376.8
22,25,1054.0,1010.0,1142.3,1274.8,945.1
23,26,906.2,790.8,816.6,709.3,746.7
24,27,326.5,278.1,317.4,372.1,354.6
25,28,441.6,410.4,528.0,490.8,297.3
26,29,582.2,515.9,396.4,357.8,430.5
27,30,165.9,158.9,170.6,153.8,123.0
28,31,125.3,101.6,115.4,149.9,149.4
29,32,230.1,224.8,239.3,219.3,199.1
30,33,90.6,82.4,96.7,98.4,87.6
31,34,1132.9,1152.9,1237.1,966.3,923.5
32,35,318.4,437.7,409.1,476.3,365.5
33,36,2042.3,1835.7,1865.5,1918.4,1619.1
34,37,1457.2,1373.3,1408.6,1180.1,676.2
35,38,68.4,65.8,82.3,103.1,70.8
36,39,999.7,888.9,889.0,962.5,838.6
37,40,234.7,254.6,283.8,290.9,348.0
38,41,239.4,221.6,261.2,325.9,277.7
39,42,1509.1,1268.7,1345.9,1327.2,925.1
40,44,87.8,77.6,84.5,86.9,94.5
41,45,816.1,721.7,753.0,520.0,348.1
42,46,93.2,85.6,101.3,112.2,85.8
43,47,843.9,757.0,932.3,768.8,601.5
44,48,2755.1,2846.3,2900.6,1804.4,1842.0
45,49,148.1,133.8,172.7,163.4,234.5
46,50,36.0,31.2,32.4,34.2,47.0
47,51,1060.3,946.8,932.6,987.3,903.9
48,53,364.7,356.4,407.7,583.9,583.1
49,54,257.5,240.4,282.9,267.2,219.0
50,55,484.8,401.1,433.6,406.8,415.2
51,56,126.4,139.3,109.7,116.5,118.9
52,72,114.8,111.8,124.2,114.0,121.3
53,US,32880.9,30121.8,31927.9,30347.3,26213.2
